gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,gameDate
0022200001,1610612738,Boston,Celtics,BOS,celtics,240:00,126.9,129.9,114.3,119.4,12.5,10.5,0.522,2.18,18.6,0.256,0.81,0.543,11.075,11.3,0.634,0.668,1.0,0.197,100.82,97.5,81.25,97.0,0.566,2022-10-18
0022200001,1610612755,Philadelphia,76ers,PHI,sixers,240:00,114.3,119.4,126.9,129.9,-12.5,-10.5,0.4,1.14,13.1,0.19,0.744,0.457,13.683,14.3,0.581,0.634,1.0,0.192,100.82,97.5,81.25,98.0,0.434,2022-10-18
0022200002,1610612744,Golden State,Warriors,GSW,warriors,240:00,105.9,107.0,92.4,97.3,13.6,9.6,0.689,1.72,19.6,0.281,0.754,0.518,15.501,15.7,0.535,0.564,1.0,0.198,117.06,113.5,94.58,115.0,0.548,2022-10-18
0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,92.4,97.3,105.9,107.0,-13.6,-9.6,0.575,1.05,15.3,0.246,0.719,0.482,18.644,19.6,0.479,0.519,1.0,0.197,117.06,113.5,94.58,112.0,0.452,2022-10-18
0022200004,1610612754,Indiana,Pacers,IND,pacers,240:00,97.9,102.9,108.0,108.6,-10.0,-5.7,0.538,1.4,14.8,0.29,0.647,0.451,13.731,14.4,0.479,0.504,1.0,0.2,107.4,104.5,87.08,104.0,0.424,2022-10-19
0022200004,1610612764,Washington,Wizards,WAS,wizards,240:00,108.0,108.6,97.9,102.9,10.0,5.7,0.5,1.24,14.9,0.353,0.71,0.549,16.105,16.2,0.516,0.556,1.0,0.199,107.4,104.5,87.08,105.0,0.576,2022-10-19
0022200011,1610612759,San Antonio,Spurs,SAS,spurs,240:00,93.4,97.1,122.7,120.6,-29.3,-23.4,0.55,1.47,15.1,0.295,0.667,0.459,13.731,14.3,0.439,0.471,1.0,0.2,107.18,106.0,88.33,105.0,0.368,2022-10-19
0022200011,1610612766,Charlotte,Hornets,CHA,hornets,240:00,122.7,120.6,93.4,97.1,29.3,23.4,0.542,1.73,17.9,0.333,0.705,0.541,14.269,14.0,0.58,0.619,1.0,0.2,107.18,106.0,88.33,107.0,0.632,2022-10-19
0022200007,1610612748,Miami,Heat,MIA,heat,240:00,104.5,102.9,107.1,110.5,-2.6,-7.6,0.568,1.11,15.9,0.196,0.696,0.471,18.389,18.1,0.538,0.585,1.0,0.201,105.82,105.0,87.5,105.0,0.478,2022-10-19
0022200007,1610612741,Chicago,Bulls,CHI,bulls,240:00,107.1,110.5,104.5,102.9,2.6,7.6,0.561,1.53,16.0,0.304,0.804,0.529,13.848,14.3,0.511,0.551,1.0,0.198,105.82,105.0,87.5,105.0,0.522,2022-10-19
